"ID","MonthlyIncome"
871,5462.38280337116
872,2697.16369474275
873,15271.09700402
874,2697.16369474275
875,2771.10323967451
876,5906.02007296175
877,5499.35257583704
878,2586.2543773451
879,2882.01255707216
880,15455.9458663494
881,10427.9617822591
882,2771.10323967451
883,5425.41303090528
884,5388.4432584394
885,5573.29212076881
886,5351.47348597351
887,5610.26189323469
888,5462.38280337116
889,5573.29212076881
890,2734.13346720863
891,5536.32234830292
892,9725.53610540733
893,9725.53610540733
894,5425.41303090528
895,10464.931554725
896,9836.44542280497
897,9799.47565033909
898,15160.1876866223
899,5573.29212076881
900,2734.13346720863
901,2734.13346720863
902,5610.26189323469
903,5869.05030049586
904,2808.07301214039
905,15345.0365489518
906,5351.47348597351
907,10169.1733749979
908,5499.35257583704
909,2586.2543773451
910,2549.28460487922
911,19207.1915110796
912,2771.10323967451
913,2771.10323967451
914,9910.38496773674
915,5499.35257583704
916,5388.4432584394
917,2623.22414981098
918,5388.4432584394
919,2549.28460487922
920,2955.95210200392
921,2660.19392227686
922,2549.28460487922
923,5536.32234830292
924,5573.29212076881
925,15714.7342736106
926,2882.01255707216
927,5573.29212076881
928,10132.203602532
929,2549.28460487922
930,2808.07301214039
931,5758.14098309822
932,9762.50587787321
933,9762.50587787321
934,2623.22414981098
935,2549.28460487922
936,2660.19392227686
937,10021.2942851344
938,10058.2640576003
939,5869.05030049586
940,2549.28460487922
941,3066.86141940157
942,9799.47565033909
943,10427.9617822591
944,5351.47348597351
945,2512.31483241333
946,5425.41303090528
947,2549.28460487922
948,2623.22414981098
949,2808.07301214039
950,5499.35257583704
951,2882.01255707216
952,5499.35257583704
953,5499.35257583704
954,2734.13346720863
955,5536.32234830292
956,9725.53610540733
957,10760.689734452
958,2882.01255707216
959,10169.1733749979
960,19761.7380980678
961,2734.13346720863
962,5536.32234830292
963,5684.20143816645
964,5647.23166570057
965,2586.2543773451
966,19355.0706009431
967,2697.16369474275
968,9762.50587787321
969,15566.8551837471
970,2697.16369474275
971,5462.38280337116
972,5573.29212076881
973,2697.16369474275
974,2549.28460487922
975,5388.4432584394
976,2660.19392227686
977,5906.02007296175
978,2734.13346720863
979,10021.2942851344
980,19133.2519661478
